,211,234,421,681,711,721,8341,911,QUERDENKEN714Marbach,QUERDENKEN_30,QUERDENKEN_5221,QUERDENKEN_5231,QUERDENKEN_621,QUERDENKEN_711,QUERDENKEN_7171,QUERDENKEN_721,QUERDENKEN_722,QUERDENKEN_743,QUERDENKEN_762,QUERDENKEN_791,QUERDENKEN_794,QUERDENKEN_8331,QUERDENKEN_881,Querdenken089Demo,Querdenken381Rostock,Querdenken_713_info,Querdenken_Brandenburg_Chat,QuerdenkerChat,QuerdenkerZwickau,QuerdenkerZwickauNeuigkeitenWelt,RA_Ludwig,qd334info,querdenken421,querdenken491,querdenken511,querdenken511demoterminekanal,querdenken611_infokanal,querdenken911_termine,querdenken_211,querdenken_234,querdenken_2932,querdenken_341,querdenken_351,querdenken_441,querdenken_571,querdenken_6051,querdenken_615,querdenken_681,querdenken_69,querdenken_793,querdenken_911,querdenken_brandenburg,querdenken_bremen,querdenkenhameln,querdenker6,wahrheitstalk,querdenken_30info
211,1,0.996501439,0.985324146,0.993696335,0.843938214,0.991880779,0.992978121,0.990966323,0.96545967,0.84314294,0.783381373,0.351887567,0.970829751,0.964881704,0.963971921,0.95693159,0.959316889,0.796435647,0.729968523,0.956046389,0.873612469,0.854881321,0.987753464,0.94023675,0.959265381,0.876121636,0.993078716,0.96629457,0.947522851,0.958190997,0.989225048,0.988670508,0.953537164,0.881608352,0.961410341,0.564908343,0.914597841,0.89686067,0.990447048,0.942707128,0.853474757,0.951643247,0.831093977,0.824800512,0.907546014,0.937368239,0.933576246,0.737268939,0.893991327,0.941029408,0.960901331,0.986206793,0.975776389,0.991698893,0.934439816,0.966607194,0.793551277
234,0.996501439,1,0.971583818,0.998662265,0.865753684,0.981784909,0.997803505,0.99171206,0.966087044,0.825991458,0.807067157,0.414996323,0.974374505,0.967430625,0.973789947,0.966141427,0.975857302,0.820176667,0.770307148,0.947574702,0.852558775,0.834143848,0.989018441,0.913987483,0.972788917,0.848102083,0.991018401,0.975885741,0.924718445,0.966814388,0.991617091,0.991193917,0.937275743,0.864752507,0.955717565,0.551214508,0.888120797,0.865518236,0.980503111,0.936350378,0.857072965,0.966607922,0.867882535,0.792286201,0.885357607,0.957982215,0.909371956,0.761810166,0.867853763,0.953013164,0.970060283,0.984909013,0.985749409,0.990371586,0.958542581,0.971999355,0.834853629
421,0.985324146,0.971583818,1,0.971171495,0.834647531,0.99767683,0.961506594,0.966860023,0.937063731,0.87890503,0.791617096,0.303670707,0.940380892,0.969324068,0.926440053,0.935234117,0.917002749,0.80269701,0.699410345,0.969084738,0.937563505,0.839756517,0.958415706,0.982234994,0.90800448,0.935501372,0.970310635,0.915959307,0.966584839,0.903930834,0.977576854,0.974376774,0.982197196,0.913752902,0.929352232,0.521685223,0.958167024,0.95404497,0.98042379,0.942603254,0.877255998,0.891663784,0.776981482,0.865793972,0.914631143,0.909576371,0.976243378,0.65594647,0.935762392,0.892083471,0.922924282,0.980569689,0.937054928,0.974587738,0.889690736,0.955019948,0.747187001
681,0.993696335,0.998662265,0.971171495,1,0.885558533,0.982193382,0.99505558,0.990589467,0.964174386,0.823425462,0.830206418,0.444917948,0.968182388,0.977160561,0.968799046,0.966671003,0.978138771,0.83838988,0.786341558,0.956520866,0.865469519,0.822004595,0.987311147,0.914099887,0.969468228,0.856354539,0.988219098,0.973901751,0.923466071,0.959547373,0.993064796,0.995053283,0.943409473,0.869505653,0.942347964,0.516968469,0.894589394,0.870258699,0.974850994,0.938173016,0.86682468,0.964020787,0.877840792,0.794229713,0.886804336,0.967863191,0.91187439,0.742964702,0.867386369,0.945984699,0.966199448,0.989233202,0.984722138,0.991914478,0.962585243,0.97959152,0.855380579
711,0.843938214,0.865753684,0.834647531,0.885558533,1,0.854105805,0.866442344,0.877548607,0.877683737,0.603629116,0.976868327,0.754236168,0.864059823,0.940844583,0.876145024,0.814669593,0.924704134,0.87596979,0.922969534,0.899820342,0.833721371,0.694244398,0.865169364,0.796213739,0.877379031,0.81831371,0.856563285,0.852725995,0.805361461,0.829192877,0.905988305,0.91088055,0.870403495,0.875141688,0.772524726,0.360295754,0.794920105,0.776746588,0.826658093,0.738832821,0.77449714,0.856167386,0.947879833,0.745339726,0.736472303,0.960856038,0.757580832,0.659964281,0.653055394,0.858016044,0.887399042,0.910171191,0.896951091,0.871594966,0.926977098,0.947579275,0.956467557
721,0.991880779,0.981784909,0.99767683,0.982193382,0.854105805,1,0.97424554,0.98078154,0.955369229,0.854755163,0.801461525,0.334162376,0.951850169,0.97646343,0.939188663,0.937683293,0.937021064,0.800957828,0.714154343,0.978046387,0.925726307,0.854746869,0.974482794,0.973101525,0.929174397,0.9287266,0.982881551,0.939430367,0.970032606,0.925276502,0.985042595,0.986326043,0.982896748,0.916481322,0.938810165,0.524970853,0.955624682,0.944595527,0.986927795,0.941514896,0.863977033,0.917499112,0.802431417,0.869758651,0.926519392,0.925670834,0.964245788,0.672885604,0.918597001,0.909496419,0.938792188,0.990535358,0.954943375,0.987372899,0.907172577,0.969662539,0.775094999
8341,0.992978121,0.997803505,0.961506594,0.99505558,0.866442344,0.97424554,1,0.994991987,0.977257455,0.791886693,0.799407643,0.423579139,0.984721691,0.958777951,0.98358091,0.951546556,0.983345251,0.797102713,0.772825588,0.940408952,0.829499529,0.856454121,0.993344067,0.902720421,0.985180662,0.83640911,0.99393334,0.984369395,0.923874123,0.981131394,0.989605388,0.988812529,0.927888568,0.869607912,0.96848319,0.593394862,0.873623683,0.85053984,0.982777725,0.913098351,0.825185995,0.978552735,0.879697935,0.797096184,0.881109549,0.956153157,0.886730048,0.793893272,0.837957484,0.969451537,0.982248662,0.981748184,0.99350148,0.987902453,0.962439009,0.972162486,0.834667292
911,0.990966323,0.99171206,0.966860023,0.990589467,0.877548607,0.98078154,0.994991987,1,0.990514105,0.765530254,0.800583074,0.408161618,0.981968814,0.964808291,0.97431109,0.9254789,0.979051075,0.770175537,0.750738045,0.963076229,0.850434522,0.890748112,0.998891925,0.921444638,0.980834482,0.872161445,0.999019489,0.985898907,0.952003322,0.978993713,0.988053303,0.993479869,0.949967402,0.903601188,0.967878293,0.592135293,0.904501482,0.880812836,0.990022949,0.901701251,0.798181869,0.975939446,0.866785741,0.849506296,0.915343301,0.948353177,0.895266953,0.763344468,0.835310302,0.962332633,0.97968143,0.990669093,0.991916258,0.994673621,0.945888935,0.982708872,0.824260707
QUERDENKEN714Marbach,0.96545967,0.966087044,0.937063731,0.964174386,0.877683737,0.955369229,0.977257455,0.990514105,1,0.67800766,0.784588922,0.41756085,0.981199803,0.940525544,0.969040761,0.867903104,0.97299559,0.708495406,0.737569212,0.949972877,0.815347489,0.931841507,0.990691104,0.900253484,0.98121901,0.864015984,0.988386672,0.981157212,0.951539287,0.982260756,0.968140844,0.975779138,0.933759285,0.922780011,0.970132111,0.650604328,0.884588919,0.861651909,0.980152193,0.836668423,0.71736178,0.974948631,0.868750458,0.877361493,0.909775289,0.92731922,0.847515268,0.785729419,0.767277806,0.969224842,0.982483102,0.974818903,0.986670588,0.976237542,0.927998546,0.97484487,0.808274932
QUERDENKEN_30,0.84314294,0.825991458,0.87890503,0.823425462,0.603629116,0.854755163,0.791886693,0.765530254,0.67800766,1,0.634184413,0.137800214,0.732352418,0.81240973,0.732995843,0.907482932,0.705673599,0.807720984,0.558988493,0.771506471,0.845210484,0.519189142,0.751371532,0.848190361,0.683017058,0.756729644,0.77540043,0.69563158,0.751174422,0.673760439,0.81604343,0.794192484,0.809036099,0.648796467,0.724076056,0.273703908,0.802659225,0.812306179,0.794481563,0.933838163,0.949278627,0.663548717,0.559042678,0.579038813,0.703119279,0.744187585,0.924937483,0.453440848,0.966110541,0.663728239,0.698104893,0.795686668,0.725048444,0.795819721,0.72533074,0.740864919,0.570852929
QUERDENKEN_5221,0.783381373,0.807067157,0.791617096,0.830206418,0.976868327,0.801461525,0.799407643,0.800583074,0.784588922,0.634184413,1,0.796847086,0.797266451,0.908325256,0.818400474,0.798397272,0.861551545,0.93328035,0.952570969,0.837689864,0.833501817,0.562455962,0.780090122,0.757339989,0.796533568,0.780237462,0.776766429,0.75559429,0.72358939,0.732529694,0.860608128,0.851335319,0.821202504,0.820371561,0.685529539,0.267882189,0.738439967,0.736036492,0.751198196,0.705779105,0.8215974,0.760563769,0.91870496,0.65165222,0.625971277,0.930840181,0.734632481,0.604835937,0.641192468,0.785171438,0.818339974,0.851600338,0.824056149,0.797450185,0.891093696,0.889841871,0.939727238
QUERDENKEN_5231,0.351887567,0.414996323,0.303670707,0.444917948,0.754236168,0.334162376,0.423579139,0.408161618,0.41756085,0.137800214,0.796847086,1,0.439765948,0.517091919,0.494298771,0.426727063,0.570741142,0.691454918,0.871315463,0.397308938,0.335302515,0.151992576,0.393097293,0.223968214,0.497858702,0.267051239,0.367986151,0.42635587,0.223840657,0.411686191,0.468362954,0.459706793,0.338026144,0.392657599,0.287192166,0.042204053,0.209684738,0.189350711,0.3021748,0.244758575,0.43446891,0.470787505,0.793511109,0.166654611,0.138126135,0.654204889,0.191636875,0.485298865,0.088244104,0.493453199,0.497382974,0.440788955,0.492861732,0.383714924,0.641894885,0.528505993,0.831948162
QUERDENKEN_621,0.970829751,0.974374505,0.940380892,0.968182388,0.864059823,0.951850169,0.984721691,0.981968814,0.981199803,0.732352418,0.797266451,0.439765948,1,0.935783736,0.996401959,0.905317903,0.978564769,0.759643476,0.789404704,0.913247981,0.802316669,0.890709791,0.977184001,0.893856239,0.98673131,0.830385783,0.979987525,0.964212751,0.918036488,0.982026116,0.979371647,0.967447645,0.909852695,0.899582627,0.985021633,0.704533671,0.841536691,0.83290449,0.977616971,0.839745712,0.768159867,0.965601814,0.892289498,0.812912827,0.839696723,0.938732326,0.844743253,0.862088284,0.776029889,0.991993916,0.996948162,0.962845577,0.989191472,0.958754506,0.955438137,0.959547955,0.809048027
QUERDENKEN_711,0.964881704,0.967430625,0.969324068,0.977160561,0.940844583,0.97646343,0.958777951,0.964808291,0.940525544,0.81240973,0.908325256,0.517091919,0.935783736,1,0.934800822,0.933982394,0.955642353,0.884592816,0.826438594,0.979593941,0.934724843,0.787460071,0.954727285,0.936848309,0.926205362,0.916812554,0.957536295,0.92499702,0.927664421,0.901299649,0.985350388,0.987711424,0.972093569,0.917879941,0.886479938,0.43156964,0.927043986,0.912957805,0.947441306,0.91023725,0.88840981,0.910471557,0.880694626,0.831760851,0.874712178,0.973413191,0.927752277,0.663199594,0.864514068,0.902420254,0.936001974,0.989968636,0.954104337,0.971569222,0.943771848,0.989684244,0.878963826
QUERDENKEN_7171,0.963971921,0.973789947,0.926440053,0.968799046,0.876145024,0.939188663,0.98358091,0.97431109,0.969040761,0.732995843,0.818400474,0.494298771,0.996401959,0.934800822,1,0.919198732,0.985829942,0.792509346,0.828014894,0.897038914,0.784630112,0.8524123,0.96890661,0.867792571,0.98949305,0.799036072,0.969969378,0.96155197,0.887106717,0.978851962,0.978092684,0.963512408,0.88936425,0.873573741,0.971749804,0.681159443,0.811141164,0.800495614,0.961606415,0.837826867,0.785935009,0.967710935,0.91950018,0.767033835,0.80547963,0.954097537,0.825472567,0.879342804,0.759822185,0.994507938,0.997115428,0.955194905,0.989916032,0.950056045,0.974287557,0.956243489,0.841639653
QUERDENKEN_721,0.95693159,0.966141427,0.935234117,0.966671003,0.814669593,0.937683293,0.951546556,0.9254789,0.867903104,0.907482932,0.798397272,0.426727063,0.905317903,0.933982394,0.919198732,1,0.92148802,0.893983791,0.780884698,0.879493983,0.829983331,0.671338211,0.919125824,0.858181006,0.904122413,0.769775631,0.924269401,0.904924237,0.826757624,0.887225861,0.951335744,0.941362008,0.873881236,0.751019276,0.873157936,0.412509293,0.821488549,0.801267882,0.909719305,0.963005583,0.942153366,0.896144721,0.831504502,0.644824218,0.786319374,0.936650669,0.899116054,0.700724358,0.894326608,0.87955438,0.898463044,0.929357317,0.922834163,0.934974509,0.937435392,0.909135431,0.828247719
QUERDENKEN_722,0.959316889,0.975857302,0.917002749,0.978138771,0.924704134,0.937021064,0.983345251,0.979051075,0.97299559,0.705673599,0.861551545,0.570741142,0.978564769,0.955642353,0.985829942,0.92148802,1,0.821533829,0.854773597,0.922415951,0.79464808,0.828049427,0.976207154,0.849919641,0.992544843,0.801051746,0.970413888,0.977841972,0.881164225,0.975442331,0.978362824,0.97797736,0.89706398,0.867251365,0.938521682,0.575839663,0.822410026,0.795987068,0.947291058,0.850070843,0.792331292,0.982723034,0.948494001,0.765251428,0.82768602,0.98187916,0.818769404,0.825796285,0.747683099,0.979183497,0.988885552,0.968052613,0.995612898,0.964162317,0.988194933,0.978716306,0.906756765
QUERDENKEN_743,0.796435647,0.820176667,0.80269701,0.83838988,0.87596979,0.800957828,0.797102713,0.770175537,0.708495406,0.807720984,0.93328035,0.691454918,0.759643476,0.884592816,0.792509346,0.893983791,0.821533829,1,0.910990898,0.783632253,0.819317709,0.430070931,0.749308194,0.73917581,0.755491632,0.706555601,0.752899778,0.723743322,0.659382527,0.694143174,0.848572107,0.828051636,0.778016784,0.690416513,0.658128032,0.171647275,0.702106378,0.699361993,0.728750822,0.811990641,0.950526616,0.72413551,0.85121267,0.505757532,0.574171079,0.909631214,0.781459378,0.567495353,0.752007214,0.736656368,0.768404793,0.819868482,0.787647428,0.782108518,0.881010381,0.832041526,0.894201143
QUERDENKEN_762,0.729968523,0.770307148,0.699410345,0.786341558,0.922969534,0.714154343,0.772825588,0.750738045,0.737569212,0.558988493,0.952570969,0.871315463,0.789404704,0.826438594,0.828014894,0.780884698,0.854773597,0.910990898,1,0.713891433,0.671051743,0.490652947,0.731701631,0.626840821,0.801670146,0.609437626,0.724307628,0.732154168,0.598432922,0.734927758,0.814305576,0.787931623,0.690500632,0.704680227,0.674890891,0.357643432,0.568841169,0.566596005,0.689115694,0.621081848,0.763074359,0.759966325,0.960961445,0.484857561,0.475914788,0.910402871,0.597929244,0.746025818,0.51219554,0.809566732,0.817754598,0.774381925,0.807587846,0.726022584,0.909455155,0.821779957,0.945251377
QUERDENKEN_791,0.956046389,0.947574702,0.969084738,0.956520866,0.899820342,0.978046387,0.940408952,0.963076229,0.949972877,0.771506471,0.837689864,0.397308938,0.913247981,0.979593941,0.897038914,0.879493983,0.922415951,0.783632253,0.713891433,1,0.940788328,0.851907386,0.957803662,0.957263397,0.902953778,0.954613443,0.960329111,0.924003367,0.971645225,0.892841227,0.960657759,0.977768824,0.991594738,0.940684675,0.885224451,0.433603184,0.973447146,0.953271264,0.9558951,0.899969228,0.81607947,0.898502251,0.804100164,0.911079742,0.948290458,0.921482001,0.939341372,0.587132339,0.870952905,0.869864721,0.909440718,0.986438565,0.933771181,0.976376899,0.881297872,0.979258767,0.805668761
QUERDENKEN_794,0.873612469,0.852558775,0.937563505,0.865469519,0.833721371,0.925726307,0.829499529,0.850434522,0.815347489,0.845210484,0.833501817,0.335302515,0.802316669,0.934724843,0.784630112,0.829983331,0.79464808,0.819317709,0.671051743,0.940788328,1,0.705834071,0.832322859,0.962285836,0.752357928,0.97451929,0.848686886,0.762128725,0.909123199,0.728245732,0.889525454,0.889850043,0.965393085,0.907801391,0.761213236,0.301330125,0.962366597,0.973388804,0.865872408,0.866394246,0.876189954,0.725301101,0.683162492,0.860328102,0.848506406,0.837110405,0.963273724,0.42932917,0.911112635,0.729889626,0.784689551,0.909547489,0.804801521,0.87531769,0.774231786,0.891329199,0.702360479
QUERDENKEN_8331,0.854881321,0.834143848,0.839756517,0.822004595,0.694244398,0.854746869,0.856454121,0.890748112,0.931841507,0.519189142,0.562455962,0.151992576,0.890709791,0.787460071,0.8524123,0.671338211,0.828049427,0.430070931,0.490652947,0.851907386,0.705834071,1,0.895453795,0.848221657,0.867583118,0.824413609,0.898451636,0.875423372,0.930957754,0.897601052,0.83637091,0.847474137,0.85296094,0.895276017,0.928386092,0.776470277,0.833566339,0.823288599,0.915332062,0.678937082,0.482615942,0.861344443,0.668470229,0.927125244,0.893230153,0.732274138,0.751733085,0.710255447,0.660012933,0.872176002,0.879186074,0.857733493,0.867311958,0.866461519,0.739730929,0.845311564,0.5582554
QUERDENKEN_881,0.987753464,0.989018441,0.958415706,0.987311147,0.865169364,0.974482794,0.993344067,0.998891925,0.990691104,0.751371532,0.780090122,0.393097293,0.977184001,0.954727285,0.96890661,0.919125824,0.976207154,0.749308194,0.731701631,0.957803662,0.832322859,0.895453795,1,0.909392285,0.981426761,0.858302429,0.998559479,0.991440639,0.94818568,0.982946669,0.980320486,0.98928819,0.940708798,0.89031155,0.967370998,0.5909591,0.897641968,0.869116417,0.987209613,0.899837168,0.780198361,0.981403192,0.858451586,0.84482922,0.921812169,0.94010516,0.884617119,0.759625423,0.82656079,0.959634543,0.97576872,0.985326268,0.990436684,0.99424861,0.93938578,0.976800492,0.817421952
Querdenken089Demo,0.94023675,0.913987483,0.982234994,0.914099887,0.796213739,0.973101525,0.902720421,0.921444638,0.900253484,0.848190361,0.757339989,0.223968214,0.893856239,0.936848309,0.867792571,0.858181006,0.849919641,0.73917581,0.626840821,0.957263397,0.962285836,0.848221657,0.909392285,1,0.839681465,0.977177917,0.927005523,0.847638378,0.976401207,0.838125363,0.934691627,0.930655368,0.985816529,0.943197385,0.889460717,0.52000414,0.9785814,0.989084654,0.952677241,0.888243738,0.827697787,0.814892392,0.695160647,0.918525455,0.912377284,0.842770769,0.977430338,0.574766816,0.926127172,0.83085101,0.869245979,0.947246654,0.877131387,0.930600191,0.809291508,0.917945213,0.658558424
Querdenken381Rostock,0.959265381,0.972788917,0.90800448,0.969468228,0.877379031,0.929174397,0.985180662,0.980834482,0.98121901,0.683017058,0.796533568,0.497858702,0.98673131,0.926205362,0.98949305,0.904122413,0.992544843,0.755491632,0.801670146,0.902953778,0.752357928,0.867583118,0.981426761,0.839681465,1,0.777550495,0.975922677,0.987518074,0.88536163,0.99439772,0.966644574,0.966088469,0.87888193,0.85438992,0.96532117,0.64942566,0.806618096,0.779063159,0.956596106,0.835603054,0.742965814,0.993339514,0.920611663,0.769719403,0.836382504,0.952122264,0.80014414,0.858068689,0.732186945,0.991208364,0.993809742,0.95508412,0.996394709,0.960495658,0.970475897,0.960139242,0.857701618
Querdenken_713_info,0.876121636,0.848102083,0.935501372,0.856354539,0.81831371,0.9287266,0.83640911,0.872161445,0.864015984,0.756729644,0.780237462,0.267051239,0.830385783,0.916812554,0.799036072,0.769775631,0.801051746,0.706555601,0.609437626,0.954613443,0.97451929,0.824413609,0.858302429,0.977177917,0.777550495,1,0.873255658,0.789951899,0.960309374,0.76820442,0.885766016,0.892227201,0.978613171,0.96251176,0.810828436,0.429995686,0.981653376,0.992355453,0.897261186,0.815281572,0.766501465,0.752819111,0.665802415,0.951872095,0.902452805,0.80783215,0.940553923,0.468269607,0.865198004,0.762387299,0.811874024,0.916244165,0.822507561,0.886405495,0.751005078,0.899457125,0.651577281
Querdenken_Brandenburg_Chat,0.993078716,0.991018401,0.970310635,0.988219098,0.856563285,0.982881551,0.99393334,0.999019489,0.988386672,0.77540043,0.776766429,0.367986151,0.979987525,0.957536295,0.969969378,0.924269401,0.970413888,0.752899778,0.724307628,0.960329111,0.848686886,0.898451636,0.998559479,0.927005523,0.975922677,0.873255658,1,0.983934179,0.957439158,0.978139965,0.984409976,0.989751011,0.950054238,0.899594194,0.973036744,0.603057637,0.909203947,0.886261047,0.994015962,0.907589457,0.794035308,0.971979164,0.845731194,0.854012466,0.923435334,0.935114604,0.902391862,0.757562829,0.847079363,0.957720088,0.974768615,0.987507495,0.987190101,0.994490427,0.934028945,0.974963666,0.799847016
